Level	Course ID	Course Name	Pre-requisite	credit value	link
3	COMP3531	IT Entrepreneurship	Null	3	https://www.comp.polyu.edu.hk/files/COMP3531_IT_Entrepreneurship_Jan2019.pdf
3	COMP3911	Service Learning and Civic Engagement in the Information Age	Null	3	https://www.comp.polyu.edu.hk/files/COMP3911_SL_and_Civic_Engagement_in_the_IT_Age__Dec2020.pdf
3	COMP3921	FinTech Seminars and Case Studies I	Null	3	http://www.comp.polyu.edu.hk/files/COMP3921-23.pdf
3	COMP3922	FinTech Seminars and Case Studies II	Null	3	http://www.comp.polyu.edu.hk/files/COMP3921-23.pdf
3	COMP3923	FinTech Seminars and Case Studies III	Null	3	http://www.comp.polyu.edu.hk/files/COMP3921-23.pdf
3	COMP3924	FinTech Seminars and Case Studies	COMP3921, COMP3922, COMP3923	3	https://www.comp.polyu.edu.hk/files/COMP3924_FinTech_Seminars_and_Case_Studies.pdf
3	COMP3S02	Socially Responsible Global Leadership in a Digital World	Null	3	https://www.comp.polyu.edu.hk/files/COMP3S02_Socially_Responsible_Global_Leadership_in_a_Digital_World_Jan_2_.pdf
4 or 3	COMP3233	Software Testing and Quality Assurance	COMP3211	3	https://www.comp.polyu.edu.hk/files/COMP3233_Software_Testing_and_Quality_Assurance_Dec2018.pdf
4	COMP4000	Industrial Placement	Null	24	https://www.comp.polyu.edu.hk/files/COMP4000.pdf
4	COMP4001	Internship	Null	12	https://www.comp.polyu.edu.hk/files/COMP4001.pdf
4	COMP4011	Theory of Computation	COMP3011	3	https://www.comp.polyu.edu.hk/files/COMP4011_Theory_of_Computation_Mar2019.pdf
4	COMP4121	E-Commerce Technology and Applications	COMP2411, COMP3421	3	https://www.comp.polyu.edu.hk/files/COMP4121_E-Commerce_Technology_and_Applications_Dec2018.pdf
4	COMP4122	Game Design and Development	COMP2011	3	https://www.comp.polyu.edu.hk/files/COMP4122_Game_Design_and_Development_Dec2018.pdf
4	COMP4123	Business Process and Workflow Management	Null	3	https://www.comp.polyu.edu.hk/files/COMP4123_Business_Process_and_Workflow_Management_Dec2018.pdf
4	COMP4125	Operations Research and Logistics Management	COMP1011, COMP2011	3	https://www.comp.polyu.edu.hk/files/COMP4125_Operations_Research_and_Logistics_Management_Dec2018.pdf
4	COMP4127	nformation Systems Audit and Control	Null	3	https://www.comp.polyu.edu.hk/files/COMP4127_Information_Systems_Audit_and_Control_Dec2018.pdf
4	COMP4133	Information Retrieval	COMP2011, COMP2411	3	https://www.comp.polyu.edu.hk/files/COMP4133_Information_Retrieval_Dec2018.pdf
4	COMP4134	Biometrics and Security	Null	3	https://www.comp.polyu.edu.hk/files/COMP4134_Biometrics_and_Security_July2015.pdf
4	COMP4135	Knowledge and Information Management	Null	3	https://www.comp.polyu.edu.hk/files/COMP4135_Knowledge_and_Information_Management_Dec2018.pdf
4	COMP4141	Crowdfunding and E-Finance	Basic concepts of finance and computing	3	https://www.comp.polyu.edu.hk/files/COMP4141.pdf
4	COMP4142	E-Payment and Cryptocurrency	COMP3334	3	https://www.comp.polyu.edu.hk/files/COMP4142_E-Payment_and_Cryptocurrency_Dec2018.pdf
4	COMP4146	Computational Finance	Null	3	https://www.comp.polyu.edu.hk/files/COMP4146_Computational_Finance_Dec_2020.pdf
4	COMP4322	Internetworking Protocol Software and Management	COMP2322	3	https://www.comp.polyu.edu.hk/files/COMP4322_Internetworking_Protocol_Software_and_Management_Dec2018.pdf
4	COMP4332	Mobile Security: Principles and Practice	COMP1011, COMP2322, COMP2432/COMP1411, COMP3334	3	https://www.comp.polyu.edu.hk/files/COMP4332_Mobile_Security_Principles_and_Practice_Jan2019.pdf
4	COMP4334	Principles and Practice for Internet Security	COMP3334	3	https://www.comp.polyu.edu.hk/files/COMP4334_Principles_and_Practice_for_Internet_Security_Dec2018.pdf
4	COMP4342	Mobile Computing	COMP2411, COMP2432/COMP1411	3	https://www.comp.polyu.edu.hk/files/COMP4342_Mobile_Computing_Jan2019.pdf
4	COMP4422	Computer Graphics	COMP2011	3	https://www.comp.polyu.edu.hk/files/COMP4422_Computer_Graphics_Dec2018.pdf
4	COMP4423	Computer Vision	COMP2011 or EIE2106 (Signals and Systems) for EIE students	3	https://www.comp.polyu.edu.hk/files/COMP4423_Computer_Vision_Dec2018.pdf
4	COMP4431	Artificial Intelligence	COMP2011	3	https://www.comp.polyu.edu.hk/files/COMP4431_Artificial_Intelligence_Dec2018.pdf
4	COMP4432	Machine Learning	Null(but students are preferred to have some previous exposure to introductory Artificial Intelligence/Data Analytics concepts and be familiar with basic notions in linear algebra and probability)	3	https://www.comp.polyu.edu.hk/files/COMP4432_Machine_Learning_Mar2019.pdf
4	COMP4433	Data Mining and Data Warehousing	COMP2411	3	https://www.comp.polyu.edu.hk/files/COMP4433_Data_Mining_and_Data_Warehousing_July2019.pdf
4	COMP4434	Big Data Analytics	AMA1104, COMP1011, COMP2011, COMP2411	3	https://www.comp.polyu.edu.hk/files/COMP4434_Big_Data_Analytics_Dec2018.pdf
4	COMP4435	Dependable Computing	Null	3	https://www.comp.polyu.edu.hk/files/COMP4435_Dependable_Computing_March2015.pdf
4	COMP4438	Embedded Software	COMP3438	3	https://www.comp.polyu.edu.hk/files/COMP4438.pdf
4	COMP4441	Enterprise Middleware Systems and Applications	COMP1011	3	https://www.comp.polyu.edu.hk/files/COMP4441.pdf
4	COMP4442	Service and Cloud Computing	2421 Computer Organization & COMP 2432 Operating Systems, or equivalent subjects	3	https://www.comp.polyu.edu.hk/files/COMP4442_Service_and_Cloud_Computing_Dec_2020.pdf
4	COMP4512	Intellectual Property Protection and Management	Null	3	https://www.comp.polyu.edu.hk/files/COMP4512_Intellectual_Property_Protection_and_Management_Dec2018.pdf
4	COMP4531	Emerging Topics in FinTech	Null	3	https://www.comp.polyu.edu.hk/files/COMP4531_Emerging_Topics_in_FinTech_Dec_2020.pdf
4	COMP4911	Capstone Project	COMP 4911 for taking COMP 4912 Exclusion: COMP 4921 / COMP 451	3 credits for each semester subject	https://www.comp.polyu.edu.hk/files/COMP4911.pdf
4	COMP4913	Capstone Project	Null	6	https://www.comp.polyu.edu.hk/files/COMP4913_Capstone_Project_Dec2018.pdf
4	COMP4921	Final Year Project	Null	9	https://www.comp.polyu.edu.hk/files/COMP4921.pdf
